,School Name,Spent Per Student,Student enrollment,Amount needed to reach 100% Fair Student Funding,Percent of Fair Student Funding
0,47 The American Sign Language and English Secondary School,"$29,476",199,N/A,
1,A. Philip Randolph Campus High School,"$20,440",1365,"$1,514,887",90%
2,A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,"$19,736",523,$0,100%
3,Abraham Lincoln High School,"$20,884",1840,"$2,127,340",90%
4,Abraham Lincoln YABC,"$12,248",212,N/A,
5,Academy for Careers in Television and Film,"$20,087",562,"$637,713",90%
6,Academy for College Preparation and Career Exploration: A College Board School,"$21,215",420,"$470,454",90%
7,Academy for Conservation and the Environment,"$22,836",282,"$283,692",92%
8,Academy for Environmental Leadership,"$29,578",246,$0,100%
9,Academy for Health Careers,"$23,657",336,$0,100%
10,Academy for Language and Technology,"$22,234",318,"$427,573",90%
11,Academy for New Americans,"$30,452",100,"$131,686",90%
12,Academy for Personal Leadership and Excellence,"$30,354",591,$0,100%
13,Academy for Scholarship and Entrepreneurship: A College Board School,"$25,718",359,"$452,457",90%
14,Academy for Software Engineering,"$22,159",447,$0,100%
15,Academy for Young Writers,"$23,774",514,$0,100%
16,Academy of American Studies,"$16,951",970,"$775,434",91%
17,Academy of Applied Mathematics and Technology,"$23,903",302,"$372,342",90%
18,Academy of Arts and Letters,"$19,781",526,"$525,824",90%
19,Academy of Finance and Enterprise,"$18,274",639,"$646,544",90%
20,Academy of Hospitality and Tourism,"$25,447",222,"$266,811",90%
21,Academy of Innovative Technology,"$23,406",415,"$525,252",90%
22,Academy of Medical Technology: A College Board School,"$20,580",655,"$769,179",90%
23,Academy of Public Relations,"$28,655",255,"$342,305",90%
24,Accion Academy,"$30,691",268,$1,100%
25,Acorn Community High School,"$31,684",145,"$191,955",90%
26,Albert Shanker School for Visual and Performing Arts,"$20,888",705,"$801,403",90%
27,Alfred E. Smith Campus YABC,"$11,029",253,N/A,
28,Alfred E. Smith Career and Technical Education High School,"$27,337",454,"$650,887",90%
